0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM
21.981,23.2,53.74,21.98,21.37,50.08,14.65,17.1
21.981,23.2,53.74,21.98,22.6,49.47,14.65,18.32
21.981,23.2,53.74,21.37,22.6,50.69,15.27,18.32
21.981,23.81,53.74,21.37,22.6,50.69,15.88,18.32
22.591,23.81,54.35,21.98,23.82,50.08,16.49,18.93
21.981,23.81,54.35,21.37,23.82,50.69,16.49,18.93
21.981,24.42,53.74,21.98,23.82,50.69,17.71,20.15
22.591,24.42,54.35,21.37,24.43,50.08,18.32,20.76
22.591,24.42,54.35,20.76,24.43,50.08,18.93,20.76
22.591,23.81,54.35,21.37,25.04,50.69,19.54,21.37
22.591,24.42,54.35,21.37,25.65,50.69,20.15,22.59
22.591,24.42,54.96,21.37,25.04,50.69,20.76,22.59
22.591,24.42,54.96,21.37,26.26,50.69,21.37,23.2
22.591,24.42,54.96,21.37,26.26,50.69,21.98,24.43
21.981,23.81,54.96,20.76,26.26,50.69,22.59,25.04
22.591,24.42,54.96,21.37,26.87,50.69,23.81,25.65
22.591,25.03,55.57,21.37,27.48,50.69,23.81,25.65
21.981,24.42,54.96,21.37,27.48,50.69,25.04,26.87
23.201,24.42,55.57,20.76,27.48,50.69,25.04,26.87
22.591,25.03,54.96,21.37,28.09,50.69,26.26,28.09
22.591,25.03,55.57,21.37,28.7,50.08,27.48,28.09
22.591,24.42,55.57,21.37,28.7,50.69,28.09,28.09
22.591,24.42,55.57,21.37,29.31,50.08,28.7,29.31
21.981,24.42,55.57,21.37,29.31,50.69,29.31,29.92
22.591,25.03,56.18,21.98,29.31,50.08,29.92,30.53
21.981,23.81,56.79,21.37,29.92,50.08,30.53,30.53
22.591,24.42,56.18,21.98,29.92,50.69,31.75,31.14
22.591,25.03,56.18,21.98,30.53,50.08,31.75,31.75
21.981,24.42,56.18,21.37,30.53,49.47,32.97,32.36
21.981,23.81,56.18,21.98,31.14,50.08,32.97,32.36
21.981,24.42,56.18,21.98,31.76,49.47,33.58,32.98
21.981,24.42,56.79,21.98,31.14,50.08,34.2,32.98
21.371,24.42,56.18,22.59,31.14,49.47,35.42,32.98
21.371,24.42,56.18,21.98,31.76,50.08,36.03,34.2
20.761,24.42,56.79,22.59,31.76,49.47,36.03,34.2
20.761,24.42,56.79,22.59,32.37,49.47,36.638,34.2
20.761,23.81,56.79,21.98,32.37,49.47,37.249,34.2
21.371,23.81,56.79,21.98,32.37,48.24,38.47,34.81
20.761,23.81,56.79,21.98,32.37,48.85,37.859,35.42
